unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_833,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,135000.0,200.0,,,cairo,Cairo Festival City Mall - CFC ,CFC Aura,,,,30.027654732367626,31.41183316300157
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_834,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,30000.0,125.0,,,cairo,Street 100,الحس العاشر الشيخ زايد,,,,30.04230075426933,30.974668785420363
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_835,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,145.0,,,cairo,Nagib Al Rehani St.,"شارع نجيب الريحاني, المرحله الثالثه",,,,30.06463436,31.48187214
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_836,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,28000.0,140.0,,,cairo,Janna 2,"جنة 2, كمبوند بالشيخ زايد",,,,30.046164658414,31.024551386945
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_837,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,30000.0,200.0,,,cairo,Street 79,النرجس ,,,,30.00567515,31.44863361
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_838,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,28000.0,200.0,,,cairo,El Banafsag 12,"البنفسج 12, البنفسج",,,,30.039,31.463
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_839,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,89.0,,,cairo,Phase 9,"المرحله التاسعه, إمتداد الرحاب",,,,30.06,31.51
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_840,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,30000.0,220.0,,,cairo,Mohamed Rahim St,"شارع محمد رحيم, الياسمين 3",,,,30.0469769,31.45608934
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_841,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,85000.0,140.0,,,cairo,Avenues Residence - Mivida Compound,"أفينوز ريزيدنس - كمبوند ميفيدا, كمبوند ميفيدا - اعمار",,,,30.006712605335,31.535490601236
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_842,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,80000.0,129.0,,,cairo,Malls and Markets,الرحاب ,,,,30.058,31.491
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_843,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,125000.0,160.0,,,cairo,Boulevard Residence Mivida,"بوليفارد ريزيدنس ميفيدا, كمبوند ميفيدا - اعمار",,,,30.010861899984,31.542700379068
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_844,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,50000.0,133.0,,,cairo,Zohour Road,"طريق الزهور, مناطق فرعية بمدينتي",,,,30.107,31.642
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_845,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,40000.0,300.0,,,cairo,Northern 90th St.,"Furnished apartment for rent in the Fifth District, behind Choueifat ",,,,30.021,31.43
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_846,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,80000.0,140.0,,,cairo,The Fourteen - Uptown Cairo Compound,"ذا فورتين - كمبوند أب تاون كايرو, كمبوند أب تاون كايرو - اعمار",,,,30.02563516044,31.301344483072
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_847,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,35000.0,144.0,,,cairo,Madinaty - B 12,"مدينتي - بي 12, المنطقه الثانيه عشر عمارات",,,,30.0789041,31.6729458
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_848,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,22000.0,180.0,,,cairo,Street 1,التجمع الخامس ,,,,29.99902834,31.4274935
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_850,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,95000.0,180.0,,,cairo,V Residence - Villette , in Villette Sodic,,,,30.024467572275,31.555843348615
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_851,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,25000.0,82.0,,,cairo,Madinaty - B 7,"مدينتي - بي 7, المنطقه السابعه عمارات",,,,30.08692820172,31.646637245503
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_852,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,25000.0,116.0,,,cairo,Madinaty - B 12,"مدينتي - بي 12, المنطقه الثانيه عشر عمارات",,,,30.0789041,31.6729458
